index,store_ID,day_of_week,date,nb_customers_on_day,open,promotion,state_holiday,school_holiday,sales
272371,415,7,01/03/2015,0,0,0,0,0,190.58913969267172
558468,27,7,29/12/2013,0,0,0,0,0,507.5275987503607
76950,404,3,19/03/2014,657,1,1,0,0,6788.8362017281725
77556,683,2,29/01/2013,862,1,0,0,0,5518.998092738517
456344,920,3,19/03/2014,591,1,1,0,0,6130.208475266005
436466,758,4,26/06/2014,569,1,0,0,0,5967.089704347814
646251,563,1,16/02/2015,321,1,1,0,0,3943.0797116606973
650464,930,6,22/11/2014,1367,1,0,0,0,8669.734439552627
162710,756,4,04/06/2015,0,0,1,a,0,659.9869003689839
100327,49,2,13/01/2015,546,1,1,0,0,5358.789655814561
374540,787,4,23/07/2015,968,1,0,0,1,8083.769670039865
399143,782,4,19/09/2013,472,1,0,0,0,4105.960381198827
44740,897,7,20/04/2014,0,0,0,0,0,0.0
674144,933,1,09/12/2013,965,1,0,0,0,7901.829551049144
81595,218,2,07/04/2015,804,1,0,0,1,6341.7608769086955
416724,554,3,09/10/2013,499,1,1,0,1,5872.2855102061585
632687,362,1,12/08/2013,1337,1,1,0,1,12245.23979357924
351899,655,3,09/04/2014,560,1,0,0,0,4953.38597472702
515940,785,3,31/12/2014,461,1,0,0,1,4423.291600444811
567411,690,3,19/03/2014,866,1,1,0,0,8180.59482587559
274598,1103,7,15/02/2015,0,0,0,0,0,341.1192374488407
417880,431,1,02/06/2014,1367,1,1,0,0,13384.377820530179
453710,127,2,24/09/2013,642,1,1,0,0,6678.573873747717
597622,579,5,29/03/2013,0,0,1,b,1,94.331943635238
223346,248,6,03/08/2013,1139,1,0,0,0,8350.12116839559
630018,962,6,11/01/2014,0,0,0,0,0,0.0
355860,224,2,26/03/2013,515,1,1,0,1,5718.364443054614
360080,208,3,19/06/2013,355,1,1,0,1,4364.316473352756
129544,401,1,30/03/2015,1063,1,1,0,0,10402.467672845049
422545,503,7,29/09/2013,0,0,0,0,0,0.0
174199,221,4,05/03/2015,562,1,1,0,0,4935.308623440396
118613,268,7,02/11/2014,0,0,0,0,0,0.0
60310,799,2,27/08/2013,927,1,1,0,1,8685.582230996763
328458,260,6,25/10/2014,894,1,0,0,0,5911.576069064594
200661,1041,2,10/03/2015,594,1,0,0,0,5239.325334775066
179581,350,2,18/06/2013,533,1,1,0,0,6609.243850999473
587612,286,7,05/04/2015,0,0,0,0,0,422.77142095547964
320169,620,2,04/06/2013,709,1,1,0,0,7679.391620065202
37194,521,1,17/06/2013,484,1,1,0,0,6105.897692832707
685427,649,4,27/11/2014,435,1,1,0,0,5046.358149592034
125422,1059,2,02/06/2015,1239,1,1,0,0,11411.560236548072
24499,486,6,28/06/2014,373,1,0,0,0,3847.5314225643833
281806,252,4,17/10/2013,642,1,0,0,0,6685.745278976104
540511,656,3,15/05/2013,421,1,1,0,0,4823.725240672811
28689,642,5,12/09/2014,394,1,0,0,0,3839.7192530295442
165066,655,5,08/05/2015,761,1,1,0,0,7997.894978452007
555963,992,3,26/06/2013,627,1,0,0,0,5399.488608758021
610614,143,2,02/06/2015,731,1,1,0,0,7824.179518043064
64013,421,5,18/07/2014,941,1,1,0,1,8622.392789035404
30639,246,4,02/10/2014,1157,1,1,0,0,9657.22529680811
418604,960,1,28/04/2014,720,1,1,0,0,7537.712462116719
468037,313,5,17/01/2014,697,1,0,0,0,6407.904585985197
271589,291,6,29/06/2013,534,1,0,0,0,5543.069792889544
77924,924,6,31/05/2014,333,1,0,0,0,3146.23578674399
247149,337,2,13/08/2013,430,1,1,0,1,5378.157384426392
576822,1024,4,12/03/2015,607,1,0,0,0,5249.914953848775
108538,56,3,22/01/2014,402,1,1,0,0,4475.03061717103
645670,507,3,09/04/2014,532,1,0,0,0,4985.626412808876
601663,970,5,15/03/2013,406,1,0,0,0,3380.0031995982595
502588,846,2,23/06/2015,828,1,0,0,0,7227.065077644117
66732,549,3,27/08/2014,582,1,0,0,0,5831.121996289014
627113,1095,4,28/03/2013,852,1,1,0,1,8108.567705814963
691184,859,5,12/04/2013,709,1,1,0,0,6931.653943988812
467913,914,2,29/07/2014,1178,1,1,0,1,10310.63546688694
304890,888,2,23/06/2015,634,1,0,0,0,5993.489205015406
274018,442,2,04/11/2014,517,1,1,0,0,5609.87997288359
644430,34,6,09/03/2013,905,1,0,0,0,7801.07475364219
669009,199,4,10/07/2014,581,1,0,0,0,4908.81657569857
518722,854,4,04/06/2015,657,1,1,a,0,6676.4556108377365
505976,611,2,21/01/2014,485,1,1,0,0,5718.1310749466265
291572,808,4,09/04/2015,528,1,0,0,1,5873.49672623779
39071,1105,4,22/01/2015,410,1,0,0,0,4222.4517072336475
319154,866,5,24/04/2015,445,1,0,0,0,5189.677005291143
166603,222,6,28/09/2013,367,1,0,0,0,3160.4914740805525
428262,476,2,24/09/2013,753,1,1,0,0,7018.998007587102
20314,800,1,26/05/2014,494,1,0,0,0,4790.784556693798
603091,330,1,24/03/2014,408,1,0,0,0,3908.8673861153216
500421,507,3,07/01/2015,648,1,1,0,0,6760.0538283998885
388016,98,7,02/06/2013,0,0,0,0,0,20.370268553858654
268257,1026,2,28/01/2014,1044,1,0,0,0,7796.3102091917135
216326,990,5,04/10/2013,719,1,0,0,0,5400.39227278433
40755,8,6,10/01/2015,345,1,0,0,0,3291.7284526634753
8654,611,3,31/07/2013,566,1,1,0,1,6119.01119285549
37301,257,2,13/08/2013,777,1,1,0,0,7630.542697232527
485623,840,4,16/04/2015,1189,1,1,0,0,10877.573321842921
214073,848,5,31/07/2015,998,1,1,0,1,9482.029513760788
406145,124,6,12/07/2014,297,1,0,0,0,2798.851556648806
397642,1028,2,31/12/2013,438,1,0,0,1,4375.696266790784
273960,95,2,24/09/2013,1099,1,1,0,0,9787.881092356427
